Category,Type,Subtype,Date,Month,Year,Institute,Title,abbr.,Paper_link,Abstract,code,Publication,BibTex,Authors,_tasks,_added_date
Method,astro-ph,,2003-02-24,2,2003,,Effect of Clouds on Apertures of Space-based Air Fluorescence Detectors,,http://arxiv.org/abs/astro-ph/0302501v1,"Space-based ultra-high-energy cosmic ray detectors observe fluorescence light from extensive air showers produced by these particles in the troposphere. Clouds can scatter and absorb this light and produce systematic errors in energy determination and spectrum normalization. We study the possibility of using IR remote sensing data from MODIS and GOES satellites to delimit clear areas of the atmosphere. The efficiency for detecting ultra-high-energy cosmic rays whose showers do not intersect clouds is determined for real, night-time cloud scenes. We use the MODIS SST cloud mask product to define clear pixels for cloud scenes along the equator and use the OWL Monte Carlo to generate showers in the cloud scenes. We find the efficiency for cloud-free showers with closest approach of three pixels to a cloudy pixel is 6.5%, exclusive of other factors. We conclude that defining a totally cloud-free aperture reduces the sensitivity of space-based fluorescence detectors to unacceptably small levels.",,"24 pages, 8 Figures","@article{sokolsky2003effect,
  title={Effect of Clouds on Apertures of Space-based Air Fluorescence Detectors},
  author={P. Sokolsky and J. Krizmanic},
  journal={arXiv preprint arXiv:astro-ph/0302501v1},
  year={2003},
  url={http://arxiv.org/abs/astro-ph/0302501v1}
}","P. Sokolsky, J. Krizmanic",,2026-04-18
Method,physics.data-an,Atmospheric and Oceanic Physics; Geophysics,2004-02-19,2,2004,,Bayesian Estimation for Land Surface Temperature Retrieval: The Nuisance of Emissivities,,http://arxiv.org/abs/physics/0402099v3,"An approach to the remote sensing of land surface temperature is developed using the methods of Bayesian inference. The starting point is the maximum entropy estimate for the posterior distribution of radiance in multiple bands. In order to convert this quantity to an estimator for surface temperature and emissivity with Bayes' theorem, it is necessary to obtain the joint prior probability for surface temperature and emissivity, given available prior knowledge. The requirement that any pair of distinct observers be able to relate their descriptions of radiance under arbitrary Lorentz transformations uniquely determines the prior probability. Perhaps surprisingly, surface temperature acts as a scale parameter, while emissivity acts as a location parameter, giving the prior probability P(T,emissivity|K)=const./T dT d(emissivity). Given this result, it is a simple matter to construct estimators for surface temperature and emssivity. Monte Carlo simulations of land surface temeprature retrieval in selected MODIS bands are presented as examples of the utility of the approach.",,"Table 3 has been replaced, and the discussion in Section IV has been revised, to reflect corrected Monte Carlo simulations. Text revised and corrected in light of comments by referees, others","@article{morgan2004bayesian,
  title={Bayesian Estimation for Land Surface Temperature Retrieval: The Nuisance of Emissivities},
  author={J. A. Morgan},
  journal={arXiv preprint arXiv:physics/0402099v3},
  year={2004},
  url={http://arxiv.org/abs/physics/0402099v3}
}",J. A. Morgan,,2026-04-18
Method,physics.data-an,stat.AP,2007-12-14,12,2007,,A nonlinear Stein based estimator for multichannel image denoising,,http://arxiv.org/abs/0712.2317v1,"The use of multicomponent images has become widespread with the improvement of multisensor systems having increased spatial and spectral resolutions. However, the observed images are often corrupted by an additive Gaussian noise. In this paper, we are interested in multichannel image denoising based on a multiscale representation of the images. A multivariate statistical approach is adopted to take into account both the spatial and the inter-component correlations existing between the different wavelet subbands. More precisely, we propose a new parametric nonlinear estimator which generalizes many reported denoising methods. The derivation of the optimal parameters is achieved by applying Stein's principle in the multivariate case. Experiments performed on multispectral remote sensing images clearly indicate that our method outperforms conventional wavelet denoising techniques",,,"@article{chaux2007a,
  title={A nonlinear Stein based estimator for multichannel image denoising},
  author={Caroline Chaux and Laurent Duval and Amel Benazza-Benyahia and Jean-Christophe Pesquet},
  journal={arXiv preprint arXiv:0712.2317v1},
  year={2007},
  url={http://arxiv.org/abs/0712.2317v1}
}","Caroline Chaux, Laurent Duval, Amel Benazza-Benyahia, Jean-Christophe Pesquet",SR,2026-04-18
Method,Neural and Evolutionary Computing,Computer Vision,2008-02-11,2,2008,,Extreme Learning Machine for land cover classification,,http://arxiv.org/abs/0802.1412v1,"This paper explores the potential of extreme learning machine based supervised classification algorithm for land cover classification. In comparison to a backpropagation neural network, which requires setting of several user-defined parameters and may produce local minima, extreme learning machine require setting of one parameter and produce a unique solution. ETM+ multispectral data set (England) was used to judge the suitability of extreme learning machine for remote sensing classifications. A back propagation neural network was used to compare its performance in term of classification accuracy and computational cost. Results suggest that the extreme learning machine perform equally well to back propagation neural network in term of classification accuracy with this data set. The computational cost using extreme learning machine is very small in comparison to back propagation neural network.",,"6 pages, mapindia 2008 conference","@article{pal2008extreme,
  title={Extreme Learning Machine for land cover classification},
  author={Mahesh Pal},
  journal={arXiv preprint arXiv:0802.1412v1},
  year={2008},
  url={http://arxiv.org/abs/0802.1412v1}
}",Mahesh Pal,CLS,2026-04-18
Method,Neural and Evolutionary Computing,Computer Vision,2008-02-15,2,2008,,Support Vector classifiers for Land Cover Classification,,http://arxiv.org/abs/0802.2138v1,"Support vector machines represent a promising development in machine learning research that is not widely used within the remote sensing community. This paper reports the results of Multispectral(Landsat-7 ETM+) and Hyperspectral DAIS)data in which multi-class SVMs are compared with maximum likelihood and artificial neural network methods in terms of classification accuracy. Our results show that the SVM achieves a higher level of classification accuracy than either the maximum likelihood or the neural classifier, and that the support vector machine can be used with small training datasets and high-dimensional data.",,MapIndia Conference 2003,"@article{pal2008support,
  title={Support Vector classifiers for Land Cover Classification},
  author={Mahesh Pal and Paul M. Mather},
  journal={arXiv preprint arXiv:0802.2138v1},
  year={2008},
  url={http://arxiv.org/abs/0802.2138v1}
}","Mahesh Pal, Paul M. Mather",CLS,2026-04-18
Method,astro-ph,,2008-10-06,10,2008,,Astronomical site selection: On the use of satellite data for aerosol content monitoring,,http://arxiv.org/abs/0810.0927v1,"The main goal of this work is the analysis of new approaches to the study of the properties of astronomical sites. In particular, satellite data measuring aerosols have recently been proposed as a useful technique for site characterization and searching for new sites to host future very large telescopes. Nevertheless, these data need to be critically considered and interpreted in accordance with the spatial resolution and spectroscopic channels used. In this paper we have explored and retrieved measurements from satellites with high spatial and temporal resolutions and concentrated on channels of astronomical interest. The selected datasets are OMI on board the NASA Aura satellite and MODIS on board the NASA Terra and Aqua satellites. A comparison of remote sensing and in situ techniques is discussed. As a result, we find that aerosol data provided by satellites up to now are not reliable enough for aerosol site characterization, and in situ data are required.",,"LaTeX2e MN v2.2, 16 pages with 13 figures. Accepted for Mon. Not. R. Astron. Soc.(2008)","@article{varela2008astronomical,
  title={Astronomical site selection: On the use of satellite data for aerosol content monitoring},
  author={A. M. Varela and C. Bertolin and C. Muñoz-Tuñón and S. Ortolani and J. J. Fuensalida},
  journal={arXiv preprint arXiv:0810.0927v1},
  year={2008},
  url={http://arxiv.org/abs/0810.0927v1}
}","A. M. Varela, C. Bertolin, C. Muñoz-Tuñón, S. Ortolani, J. J. Fuensalida",,2026-04-18
Method,stat.AP,,2009-04-02,4,2009,,"Integrating Remote Sensing, GIS and Prediction Models to Monitor the Deforestation and Erosion in Peten Reserve, Guatemala",,http://arxiv.org/abs/0904.0317v1,"This contribution provides a strategy for studying and modelling the deforestation and soil deterioration in the natural forest reserve of Peten, Guatemala, using a poor spatial database. A Multispectral Image Processing of Spot and TM Landsat data permits to understand the behaviour of the past land cover dynamics; a multi-temporal analysis of Normalized Difference Vegetation and Hydric Stress index, most informative RGB (according to statistical criteria) and Principal Components, points out the importance and the direction of environmental impacts. We gain from the Remote Sensing images new environmental criteria (distance from roads, oil pipe-line, DEM, etc.) which influence the spatial allocation of predicted land cover probabilities. We are comparing the results of different prospective approaches (Markov Chains, Multi Criteria Evaluation and Cellular Automata; Neural Networks) analysing the residues for improving the final model of future deforestation risk.",,,"@article{bruno2009integrating,
  title={Integrating Remote Sensing, GIS and Prediction Models to Monitor the Deforestation and Erosion in Peten Reserve, Guatemala},
  author={Roberto Bruno and Marco Follador and Martin Paegelow and Fernanda Renno and Nathalie Villa},
  journal={arXiv preprint arXiv:0904.0317v1},
  year={2009},
  url={http://arxiv.org/abs/0904.0317v1}
}","Roberto Bruno, Marco Follador, Martin Paegelow, Fernanda Renno, Nathalie Villa",3D,2026-04-18
Method,Information Retrieval,Multimedia,2009-08-27,8,2009,,Retrieval of Remote Sensing Images Using Colour and Texture Attribute,,http://arxiv.org/abs/0908.4074v1,"Grouping images into semantically meaningful categories using low-level visual feature is a challenging and important problem in content-based image retrieval. The groupings can be used to build effective indices for an image database. Digital image analysis techniques are being used widely in remote sensing assuming that each terrain surface category is characterized with spectral signature observed by remote sensors. Even with the remote sensing images of IRS data, integration of spatial information is expected to assist and to improve the image analysis of remote sensing data. In this paper we present a satellite image retrieval based on a mixture of old fashioned ideas and state of the art learning tools. We have developed a methodology to classify remote sensing images using HSV color features and Haar wavelet texture features and then grouping them on the basis of particular threshold value. The experimental results indicate that the use of color and texture feature extraction is very useful for image retrieval.",,"5 pages IEEE format, International Journal of Computer Science and Information Security, IJCSIS 2009, ISSN 1947 5500, Impact Factor 0.423, http://sites.google.com/site/ijcsis/","@article{maheswary2009retrieval,
  title={Retrieval of Remote Sensing Images Using Colour and Texture Attribute},
  author={Priti Maheswary and Namita Srivastava},
  journal={arXiv preprint arXiv:0908.4074v1},
  year={2009},
  url={http://arxiv.org/abs/0908.4074v1}
}","Priti Maheswary, Namita Srivastava",ITR,2026-04-18
Method,astro-ph.EP,astro-ph.IM,2010-01-04,1,2010,,Implementation strategies for hyperspectral unmixing using Bayesian source separation,,http://arxiv.org/abs/1001.0499v2,"Bayesian Positive Source Separation (BPSS) is a useful unsupervised approach for hyperspectral data unmixing, where numerical non-negativity of spectra and abundances has to be ensured, such in remote sensing. Moreover, it is sensible to impose a sum-to-one (full additivity) constraint to the estimated source abundances in each pixel. Even though non-negativity and full additivity are two necessary properties to get physically interpretable results, the use of BPSS algorithms has been so far limited by high computation time and large memory requirements due to the Markov chain Monte Carlo calculations. An implementation strategy which allows one to apply these algorithms on a full hyperspectral image, as typical in Earth and Planetary Science, is introduced. Effects of pixel selection, the impact of such sampling on the relevance of the estimated component spectra and abundance maps, as well as on the computation times, are discussed. For that purpose, two different dataset have been used: a synthetic one and a real hyperspectral image from Mars.",,"10 pages, 6 figures","@article{schmidt2010implementation,
  title={Implementation strategies for hyperspectral unmixing using Bayesian source separation},
  author={Frederic Schmidt and Albrecht Schmidt and Erwan Treguier and Mael Guiheneuf and Said Moussaoui and Nicolas Dobigeon},
  journal={arXiv preprint arXiv:1001.0499v2},
  year={2010},
  url={http://arxiv.org/abs/1001.0499v2}
}","Frederic Schmidt, Albrecht Schmidt, Erwan Treguier, Mael Guiheneuf, Said Moussaoui, Nicolas Dobigeon",,2026-04-18
Method,Machine Learning,Computer Vision,2010-02-22,2,2010,,Supervised Classification Performance of Multispectral Images,,http://arxiv.org/abs/1002.4046v1,"Nowadays government and private agencies use remote sensing imagery for a wide range of applications from military applications to farm development. The images may be a panchromatic, multispectral, hyperspectral or even ultraspectral of terra bytes. Remote sensing image classification is one amongst the most significant application worlds for remote sensing. A few number of image classification algorithms have proved good precision in classifying remote sensing data. But, of late, due to the increasing spatiotemporal dimensions of the remote sensing data, traditional classification algorithms have exposed weaknesses necessitating further research in the field of remote sensing image classification. So an efficient classifier is needed to classify the remote sensing images to extract information. We are experimenting with both supervised and unsupervised classification. Here we compare the different classification methods and their performances. It is found that Mahalanobis classifier performed the best in our classification.",,,"@article{perumal2010supervised,
  title={Supervised Classification Performance of Multispectral Images},
  author={K. Perumal and R. Bhaskaran},
  journal={arXiv preprint arXiv:1002.4046v1},
  year={2010},
  url={http://arxiv.org/abs/1002.4046v1}
}","K. Perumal, R. Bhaskaran",CLS,2026-04-18
