Category,Category,Type,Subtype,Date,Month,Year,Institute,Title,abbr.,Paper_link,Abstract,code,Publication,BibTex,Authors,_tasks,_added_date
Method,Method,astro-ph,,2007-06-27,6,2007,,"Lunar Outgassing, Transient Phenomena and The Return to The Moon, III: Observational and Experimental Techniques",,http://arxiv.org/abs/0706.3954v1,"In Papers II and III we show that Transient Lunar Phenomena (TLPs) are likely related to lunar outgassing, albeit in ways not fully understood. Here we propose a path forward, in which current and forthcoming technologies provide a more controlled, sensitive probe of lunar outgassing. Many of these techniques are being realized for the first time. Given the optical transient/outgassing connection, progress can be made by remote sensing, and we suggest programs of imaging, spectroscopy and combinations thereof. However, as found in Paper II, many aspects of lunar outgassing seem covert in nature. TLPs betray outgassing, but not all outgassing produces TLPs. Some outgassing may never appear at the surface, but remain trapped in the regolith. We also suggest more intrusive techniques, from radar mapping to in-situ probes. Understanding these volatiles seems promising in terms of a resource for humans on the Moon and beyond, and offers an interesting scientific goal in its own right. Hence this paper is a series of proposed techniques, some in practice, some which might be soon, and some requiring significant future investment, some of which may prove unwise pending results from predecessor investigations. These point towards enhancement of our knowledge of lunar outgassing, its relation to other lunar processes, and an increase in our understanding of how volatiles are involved in the evolution of the Moon. We emphasize certain ground-based observations in time for flights of SELENE, LRO and other robotic missions, and others before extensive human xploration. We discuss how study of the pristine lunar atmosphere pertains to understanding the role of anthropogenic volatiles, an important confusing signal",,"33 pages, 4 figures","@article{crotts2007lunar,
  title={Lunar Outgassing, Transient Phenomena and The Return to The Moon, III: Observational and Experimental Techniques},
  author={Arlin P. S. Crotts},
  journal={arXiv preprint arXiv:0706.3954v1},
  year={2007},
  url={http://arxiv.org/abs/0706.3954v1}
}",Arlin P. S. Crotts,,2026-04-18
Method,Method,Information Retrieval,Multimedia,2009-08-27,8,2009,,Retrieval of Remote Sensing Images Using Colour and Texture Attribute,,http://arxiv.org/abs/0908.4074v1,"Grouping images into semantically meaningful categories using low-level visual feature is a challenging and important problem in content-based image retrieval. The groupings can be used to build effective indices for an image database. Digital image analysis techniques are being used widely in remote sensing assuming that each terrain surface category is characterized with spectral signature observed by remote sensors. Even with the remote sensing images of IRS data, integration of spatial information is expected to assist and to improve the image analysis of remote sensing data. In this paper we present a satellite image retrieval based on a mixture of old fashioned ideas and state of the art learning tools. We have developed a methodology to classify remote sensing images using HSV color features and Haar wavelet texture features and then grouping them on the basis of particular threshold value. The experimental results indicate that the use of color and texture feature extraction is very useful for image retrieval.",,"5 pages IEEE format, International Journal of Computer Science and Information Security, IJCSIS 2009, ISSN 1947 5500, Impact Factor 0.423, http://sites.google.com/site/ijcsis/","@article{maheswary2009retrieval,
  title={Retrieval of Remote Sensing Images Using Colour and Texture Attribute},
  author={Priti Maheswary and Namita Srivastava},
  journal={arXiv preprint arXiv:0908.4074v1},
  year={2009},
  url={http://arxiv.org/abs/0908.4074v1}
}","Priti Maheswary, Namita Srivastava",ITR,2026-04-18
Method,Method,Computer Vision,,2011-08-12,8,2011,,The Statistical methods of Pixel-Based Image Fusion Techniques,,http://arxiv.org/abs/1108.3250v1,"There are many image fusion methods that can be used to produce high-resolution mutlispectral images from a high-resolution panchromatic (PAN) image and low-resolution multispectral (MS) of remote sensed images. This paper attempts to undertake the study of image fusion techniques with different Statistical techniques for image fusion as Local Mean Matching (LMM), Local Mean and Variance Matching (LMVM), Regression variable substitution (RVS), Local Correlation Modeling (LCM) and they are compared with one another so as to choose the best technique, that can be applied on multi-resolution satellite images. This paper also devotes to concentrate on the analytical techniques for evaluating the quality of image fusion (F) by using various methods including Standard Deviation (SD), Entropy(En), Correlation Coefficient (CC), Signal-to Noise Ratio (SNR), Normalization Root Mean Square Error (NRMSE) and Deviation Index (DI) to estimate the quality and degree of information improvement of a fused image quantitatively.",,"Keywords: Data Fusion, Resolution Enhancement, Statistical fusion, Correlation Modeling, Matching, pixel based fusion","@article{alwassai2011the,
  title={The Statistical methods of Pixel-Based Image Fusion Techniques},
  author={Firouz Abdullah Al-Wassai and N. V. Kalyankar and Ali A. Al-Zaky},
  journal={arXiv preprint arXiv:1108.3250v1},
  year={2011},
  url={http://arxiv.org/abs/1108.3250v1}
}","Firouz Abdullah Al-Wassai, N. V. Kalyankar, Ali A. Al-Zaky",,2026-04-18
Method,Method,nlin.CD,Atmospheric and Oceanic Physics,2011-12-16,12,2011,,The reduction of plankton biomass induced by mesoscale stirring: a modeling study in the Benguela upwelling,,http://arxiv.org/abs/1112.3760v3,"Recent studies, both based on remote sensed data and coupled models, showed a reduction of biological productivity due to vigorous horizontal stirring in upwelling areas. In order to better understand this phenomenon, we consider a system of oceanic flow from the Benguela area coupled with a simple biogeochemical model of Nutrient-Phyto-Zooplankton (NPZ) type. For the flow three different surface velocity fields are considered: one derived from satellite altimetry data, and the other two from a regional numerical model at two different spatial resolutions. We compute horizontal particle dispersion in terms of Lyapunov Exponents, and analyzed their correlations with phytoplankton concentrations. Our modelling approach confirms that in the south Benguela there is a reduction of biological activity when stirring is increased. Two-dimensional offshore advection and latitudinal difference in Primary Production, also mediated by the flow, seem to be the dominant processes involved. We estimate that mesoscale processes are responsible for 30 to 50% of the offshore fluxes of biological tracers. In the northern area, other factors not taken into account in our simulation are influencing the ecosystem. We suggest explanations for these results in the context of studies performed in other eastern boundary upwelling areas.",,,"@article{hernndezcarrasco2011the,
  title={The reduction of plankton biomass induced by mesoscale stirring: a modeling study in the Benguela upwelling},
  author={Ismael Hernández-Carrasco and Vincent Rossi and Emilio Hernández-García and Veronique Garçon and Cristóbal López},
  journal={arXiv preprint arXiv:1112.3760v3},
  year={2011},
  url={http://arxiv.org/abs/1112.3760v3}
}","Ismael Hernández-Carrasco, Vincent Rossi, Emilio Hernández-García, Veronique Garçon, Cristóbal López",,2026-04-18
Method,Method,physics.atom-ph,physics.optics; quant-ph,2012-04-04,4,2012,,Light storage based on four-wave mixing and electromagnetically induced transparency in cold atoms,,http://arxiv.org/abs/1204.0955v5,"We performed an experiment to observe the storages of an input probe field and an idler field generated through an off-axis four-wave mixing (FWM) process via a double-lambda configuration in a cold atomic ensemble. We analyzed the underlying physics in detail and found that the retrieved idler field came from two parts if there was no single-photon detuning for pump pulse: part 1 was from the collective atomic spin (the input probe field, the coupling field and the pump field combined to generate the idle field through FWM, then the idler was stored through electromagnetically induced transparency.); part 2 was from the generated new FWM process during the retrieval process (the retrieved probe field, the coupling field and the pump field combined to generate a new FWM signal). If there was single-photon detuning for pump pulse, then the retrieved idler was mainly from part 2. The retrieved two fields exhibited damped oscillations with the same oscillatory period when a homogeneous external magnetic field was applied, which was caused by the Larmor spin precession. We also experimentally realized the storage and retrieval of an image of light using FWM for the first time. In which, an image was added into the input signal. After the storage, the retrieved idler beams and input signal carried the same image. This image storage technique holds promises for application in image processing, remote sensing and quantum communication.",,"14 pages, 9 figures","@article{wu2012light,
  title={Light storage based on four-wave mixing and electromagnetically induced transparency in cold atoms},
  author={Jinghui Wu and Yang Liu and Dong-Sheng Ding and Zhi-Yuan Zhou and Bao-Sen Shi and Guang-Can Guo},
  journal={arXiv preprint arXiv:1204.0955v5},
  year={2012},
  url={http://arxiv.org/abs/1204.0955v5}
}","Jinghui Wu, Yang Liu, Dong-Sheng Ding, Zhi-Yuan Zhou, Bao-Sen Shi, Guang-Can Guo",,2026-04-18
Method,Method,Computer Vision,,2013-07-17,7,2013,,Content Based Image Retrieval System using Feature Classification with Modified KNN Algorithm,,http://arxiv.org/abs/1307.4717v1,"Feature means countenance, remote sensing scene objects with similar characteristics, associated to interesting scene elements in the image formation process. They are classified into three types in image processing, that is low, middle and high. Low level features are color, texture and middle level feature is shape and high level feature is semantic gap of objects. An image retrieval system is a computer system for browsing, searching and retrieving images from a large image database. Content Based Image Retrieval is a technique which uses visual features of image such as color, shape, texture to search user required image from large image database according to user requests in the form of a query. MKNN is an enhancing method of KNN. The proposed KNN classification is called MKNN. MKNN contains two parts for processing, they are validity of the train samples and applying weighted KNN. The validity of each point is computed according to its neighbors. In our proposal, Modified K-Nearest Neighbor can be considered a kind of weighted KNN so that the query label is approximated by weighting the neighbors of the query.",,"6 pages, 5 figures","@article{dharani2013content,
  title={Content Based Image Retrieval System using Feature Classification with Modified KNN Algorithm},
  author={T. Dharani and I. Laurence Aroquiaraj},
  journal={arXiv preprint arXiv:1307.4717v1},
  year={2013},
  url={http://arxiv.org/abs/1307.4717v1}
}","T. Dharani, I. Laurence Aroquiaraj",CLS;ITR,2026-04-18
Method,Method,cs.DC,,2015-01-17,1,2015,,Distributed mining of large scale remote sensing image archives on public computing infrastructures,,http://arxiv.org/abs/1501.05286v1,"Earth Observation (EO) mining aims at supporting efficient access and exploration of petabyte-scale space- and airborne remote sensing archives that are currently expanding at rates of terabytes per day. A significant challenge is performing the analysis required by envisaged applications --- like for instance process mapping for environmental risk management --- in reasonable time. In this work, we address the problem of content-based image retrieval via example-based queries from EO data archives. In particular, we focus on the analysis of polarimetric SAR data, for which target decomposition theorems have proved fundamental in discovering patterns in data and characterize the ground scattering properties. To this end, we propose an interactive region-oriented content-based image mining system in which 1) unsupervised ingestion processes are distributed onto virtual machines in elastic, on-demand computing infrastructures 2) archive-scale content hierarchical indexing is implemented in terms of a ""big data"" analytics cluster-computing framework 3) query processing amounts to traversing the generated binary tree index, computing distances that correspond to descriptor-based similarity measures between image groups and a query image tile. We describe in depth both the strategies and the actual implementations for the ingestion and indexing components, and verify the approach by experiments carried out on the NASA/JPL UAVSAR full polarimetric data archive. We report the results of the tests performed on computer clusters by using a public Infrastructure-as-a-Service and evaluating the impact of cluster configuration on system performance. Results are promising for data mapping and information retrieval applications.",,,"@article{mascolo2015distributed,
  title={Distributed mining of large scale remote sensing image archives on public computing infrastructures},
  author={Luigi Mascolo and Marco Quartulli and Pietro Guccione and Giovanni Nico and Igor G. Olaizola},
  journal={arXiv preprint arXiv:1501.05286v1},
  year={2015},
  url={http://arxiv.org/abs/1501.05286v1}
}","Luigi Mascolo, Marco Quartulli, Pietro Guccione, Giovanni Nico, Igor G. Olaizola",ITR,2026-04-18
Method,Method,Computer Vision,,2016-02-02,2,2016,,Visual descriptors for content-based retrieval of remote sensing images,,http://arxiv.org/abs/1602.00970v5,"In this paper we present an extensive evaluation of visual descriptors for the content-based retrieval of remote sensing (RS) images. The evaluation includes global hand-crafted, local hand-crafted, and Convolutional Neural Network (CNNs) features coupled with four different Content-Based Image Retrieval schemes. We conducted all the experiments on two publicly available datasets: the 21-class UC Merced Land Use/Land Cover (LandUse) dataset and 19-class High-resolution Satellite Scene dataset (SceneSat). The content of RS images might be quite heterogeneous, ranging from images containing fine grained textures, to coarse grained ones or to images containing objects. It is therefore not obvious in this domain, which descriptor should be employed to describe images having such a variability. Results demonstrate that CNN-based features perform better than both global and and local hand-crafted features whatever is the retrieval scheme adopted. Features extracted from SatResNet-50, a residual CNN suitable fine-tuned on the RS domain, shows much better performance than a residual CNN pre-trained on multimedia scene and object images. Features extracted from NetVLAD, a CNN that considers both CNN and local features, works better than others CNN solutions on those images that contain fine-grained textures and objects.",,,"@article{napoletano2016visual,
  title={Visual descriptors for content-based retrieval of remote sensing images},
  author={Paolo Napoletano},
  journal={arXiv preprint arXiv:1602.00970v5},
  year={2016},
  url={http://arxiv.org/abs/1602.00970v5}
}",Paolo Napoletano,ITR,2026-04-18
Method,Method,Computer Vision,,2016-02-08,2,2016,,Multimodal Remote Sensing Image Registration with Accuracy Estimation at Local and Global Scales,,http://arxiv.org/abs/1602.02720v2,"This paper focuses on potential accuracy of remote sensing images registration. We investigate how this accuracy can be estimated without ground truth available and used to improve registration quality of mono- and multi-modal pair of images. At the local scale of image fragments, the Cramer-Rao lower bound (CRLB) on registration error is estimated for each local correspondence between coarsely registered pair of images. This CRLB is defined by local image texture and noise properties. Opposite to the standard approach, where registration accuracy is only evaluated at the output of the registration process, such valuable information is used by us as an additional input knowledge. It greatly helps detecting and discarding outliers and refining the estimation of geometrical transformation model parameters. Based on these ideas, a new area-based registration method called RAE (Registration with Accuracy Estimation) is proposed. In addition to its ability to automatically register very complex multimodal image pairs with high accuracy, the RAE method provides registration accuracy at the global scale as covariance matrix of estimation error of geometrical transformation model parameters or as point-wise registration Standard Deviation. This accuracy does not depend on any ground truth availability and characterizes each pair of registered images individually. Thus, the RAE method can identify image areas for which a predefined registration accuracy is guaranteed. The RAE method is proved successful with reaching subpixel accuracy while registering eight complex mono/multimodal and multitemporal image pairs including optical to optical, optical to radar, optical to Digital Elevation Model (DEM) images and DEM to radar cases. Other methods employed in comparisons fail to provide in a stable manner accurate results on the same test cases.",,"48 pages, 8 figures","@article{uss2016multimodal,
  title={Multimodal Remote Sensing Image Registration with Accuracy Estimation at Local and Global Scales},
  author={M. L. Uss and B. Vozel and V. V. Lukin and K. Chehdi},
  journal={arXiv preprint arXiv:1602.02720v2},
  year={2016},
  url={http://arxiv.org/abs/1602.02720v2}
}","M. L. Uss, B. Vozel, V. V. Lukin, K. Chehdi",3D,2026-04-18
Method,Method,Computer Vision,,2016-06-08,6,2016,,Fully Convolutional Networks for Dense Semantic Labelling of High-Resolution Aerial Imagery,,http://arxiv.org/abs/1606.02585v1,"The trend towards higher resolution remote sensing imagery facilitates a transition from land-use classification to object-level scene understanding. Rather than relying purely on spectral content, appearance-based image features come into play. In this work, deep convolutional neural networks (CNNs) are applied to semantic labelling of high-resolution remote sensing data. Recent advances in fully convolutional networks (FCNs) are adapted to overhead data and shown to be as effective as in other domains. A full-resolution labelling is inferred using a deep FCN with no downsampling, obviating the need for deconvolution or interpolation. To make better use of image features, a pre-trained CNN is fine-tuned on remote sensing data in a hybrid network context, resulting in superior results compared to a network trained from scratch. The proposed approach is applied to the problem of labelling high-resolution aerial imagery, where fine boundary detail is important. The dense labelling yields state-of-the-art accuracy for the ISPRS Vaihingen and Potsdam benchmark data sets.",,,"@article{sherrah2016fully,
  title={Fully Convolutional Networks for Dense Semantic Labelling of High-Resolution Aerial Imagery},
  author={Jamie Sherrah},
  journal={arXiv preprint arXiv:1606.02585v1},
  year={2016},
  url={http://arxiv.org/abs/1606.02585v1}
}",Jamie Sherrah,CLS,2026-04-18
